,country,year,fin_dev_dep,fin_dep,bank_share_dep,bank_prcrdt,all_prcrdt,bank_share_prcrdt,bank_asgdp,net_int,bank_roa,bank_roe,ins_asset,life_ins,nonlife_ins,stock_mrkt,stock_trade,private_penfunds,mutual_funds
0,United States of America,2000,60.966,60.966,100,46.965,162.934,29,53.493,3.829,1.162,13.674,42.028,3.905,2.929,146.656,237.632,11679835.0,67.932
1,United States of America,2001,64.066,64.066,100,49.278,165.513,30,55.462,3.83,1.13,12.673,43.622,4.081,3.165,138.855,242.084,11226402.0,65.914
2,United States of America,2002,65.359,65.359,100,49.723,164.033,30,55.878,3.945,1.284,13.821,44.777,4.207,3.523,115.334,174.715,10565163.0,58.432
3,United States of America,2003,65.151,65.151,100,50.109,165.757,30,55.978,3.71,1.383,14.872,48.066,4.083,3.707,111.191,145.557,12413754.0,64.708
4,United States of America,2004,64.208,64.208,100,51.254,174.679,29,56.386,3.506,1.294,13.29,49.435,3.918,3.64,126.183,144.939,13748809.0,66.376
5,United States of America,2005,64.452,64.452,100,53.141,179.53,30,57.886,3.472,1.295,12.721,48.702,3.625,3.507,128.954,173.353,14605439.0,68.201
6,United States of America,2006,66.602,66.602,100,55.316,185.743,30,60.023,3.211,1.272,12.478,49.002,3.718,3.438,133.784,206.196,16390662.0,75.267
7,United States of America,2007,70.62,70.62,100,57.542,193.164,30,62.876,3.135,0.874,8.577,49.141,3.573,3.362,137.606,255.07,17669759.0,83.035
8,United States of America,2008,77.902,77.902,100,60.768,195.655,31,68.257,3.099,0.103,1.454,43.603,3.558,3.255,109.74,313.716,13931285.0,69.0
9,United States of America,2009,83.044,83.044,100,57.998,189.44,31,66.921,3.412,0.163,1.645,48.666,3.218,3.213,92.763,284.782,16190426.69,82.288
10,United States of America,2010,80.438,80.438,100,52.383,181.573,29,60.965,3.811,0.665,5.965,50.05,3.114,3.092,108.121,235.064,17936169.81,85.548
11,United States of America,2011,79.258,79.258,100,51.294,176.9,29,59.928,3.64,0.862,7.636,50.682,3.274,3.095,107.214,250.552,18096471.53,81.587
12,United States of America,2012,80.014,80.014,100,49.864,172.592,29,58.877,3.525,0.989,8.796,51.29,3.308,3.111,106.749,228.769,19936486.28,88.854
13,United States of America,2013,80.592,80.592,100,49.272,177.572,28,58.44,3.428,1.05,9.378,51.325,2.955,3.178,127.992,196.774,22734674.06,99.635
14,United States of America,2014,81.084,81.084,100,49.197,182.227,27,58.425,3.461,1.022,9.09,51.705,2.889,3.181,145.424,208.51,23935895.53,101.849
15,United States of America,2015,80.607,80.607,100,49.778,178.884,28,59.272,3.335,1.056,9.321,49.551,2.866,3.183,141.876,221.818,23981656.16,97.37
16,United States of America,2016,80.968,80.968,100,51.272,178.89,29,61.813,3.326,1.044,9.288,50.526,2.759,3.211,140.661,224.061,25288020.5,100.709
17,Canada,2000,66.16,66.16,100,72.555,91.077,80,81.572,2.006,-0.162,-1.902,,3.213,2.155,150.549,68.688,815310.683,37.53
18,Canada,2001,108.756,108.756,100,97.409,132.619,73,107.727,1.72,0.335,3.937,,2.932,2.314,92.69,71.777,741658.262,36.248
19,Canada,2002,146.888,146.888,100,118.42,168.27,70,129.599,2.19,0.476,5.961,,2.813,2.593,99.104,59.066,721407.733,32.732
20,Canada,2003,141.632,141.632,100,113.742,161.827,70,124.766,2.344,0.759,10.787,25.761,2.754,2.859,107.458,56.861,974754.346,37.784
21,Canada,2004,136.659,136.659,100,111.635,159.045,70,122.103,2.095,0.861,11.725,26.279,2.926,2.882,105.715,61.315,1176362.213,40.302
22,Canada,2005,138.467,138.467,100,115.894,164.471,70,126.142,1.596,0.657,8.04,26.922,2.986,2.728,117.871,72.541,1372018.985,41.814
23,Canada,2006,146.626,146.626,100,125.85,177.31,71,136.81,1.844,0.776,9.156,28.421,3.005,2.69,125.509,85.284,1535715.274,42.925
24,Canada,2007,128.759,128.759,100,126.6,152.801,83,137.417,2.103,0.664,7.952,28.47,3.18,2.332,136.714,104.695,1951002.26,47.548
25,Canada,2008,112.746,112.746,100,122.694,122.694,100,136.392,1.767,0.439,8.765,30.256,3.098,2.244,105.965,106.603,1391903.489,26.789
