Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.69245349651536,10.625955499078,11.3351367908612,11.0984229894148,11.2058669623781,11.031267292825,10.5272906437808,10.4774392871051,10.3789563199331,11.109434443885,11.1573603733327,10.9741654774939,10.844815956651,11.0254938139466,11.4518682295269,11.1106353102927,11.2693152160404
North Macedonia,MKD,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.9308977421716,23.8322774403411,20.7524914823595,18.0793021057411,17.4050700533502,16.1849523581037,16.5105722135945,16.803123717782,18.5832389308009,19.0756882172195,18.2905857817131,18.1203224569461,18.6480481162538,17.504796858282,17.1123379786252,16.9763522579676,15.4300221084575
Serbia,SRB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.3421885756782,21.5064821912703,24.0469316197897,24.1865483958673,22.6335104327748,19.5122005365667,20.3894381134531,20.7358087224645,20.1252511350826,19.5138780699612,19.1387460452074,18.9415172180259,18.9742943276531,17.8982496409662,18.0534585764353,16.4115098969173,15.9976656466348
Montenegro,MNE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,21.9348052311206,25.1706804827389,24.8608265648696,26.7646848479069,26.3050947338666,29.9405948449416,19.1080594885116,19.8822071690154,22.217990211811,21.8605518045777,22.0934117097428,21.0627910417268,21.0949191208989,19.4768981594245,19.3727620229722,19.1958871663303,19.6117203629952
Bosnia and Herzegovina,BIH,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,24.6018002585722,23.4054327322173,23.4374019748903,22.7986171379887,21.9062313308463,21.6563079324931,20.9748145091411,21.0804736907477,22.0814076557873,23.4615267610885,23.1270966380596,23.0899893417252,23.3654292280655,22.8257774801621,22.8610441376188,21.9698075332043,20.9094500085164
Croatia,HRV,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.1778244947204,20.1424418323038,19.9280315633272,19.3434743584725,19.4249332090164,19.3041338007014,19.2201074721013,19.9896816428811,19.6152139204756,21.5532144599665,21.5851115541275,21.8227875929515,21.8363629340698,21.6895893151498,22.0042605153889,21.2823127070556,20.8168432795152
Bulgaria,BGR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.7851119720333,19.368455899514,19.178153843914,20.1105898204731,19.3619098932735,18.1535666491695,18.1469405300315,16.6883257645924,17.1498257945905,16.7393574315573,16.5044663444888,15.8503282721955,15.7905234385176,17.0848687443931,16.8326539913387,16.0841611676282,15.5827701945679
Romania,ROU,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.8590050338122,15.7967278693328,14.8243105242938,16.0448025610991,14.7275942495003,16.2399747055988,15.9232658405555,15.3905496262431,15.8811050644031,16.1045586466913,15.0091341262839,13.4651661528469,13.7767120732141,14.258864232574,14.4251464097104,13.9152888328518,15.2298367646285
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,
