Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Albania,ALB,0,0,0,0,..,..,..,..,23311017.1880501,-4130654.01345878,6866702.98268399,23346397.4972266,17988019.9511166,1699846.16117395,33948375.3732857,8986823.85572499,-14741264.843095
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,North Macedonia,MKD,..,..,44255,2740980.1,13021819.69,53820725.4,86323072.2927907,169834037.763646,-49354975.8104942,-14024882.1337271,-4035418.2830026,-8118861.7375788,-6447658.91356091,-687297.189808952,-4025006.50951968,-9373843.70165933,-7621115.07223809
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Serbia,SRB,..,..,..,..,..,..,..,764179165.456065,-54673162.3603857,23051033.6957365,84429250.2476176,69354681.7228958,-23873824.1024225,-40785007.8217987,-21637100.3892278,-90084036.2510033,-14037698.1529618
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Montenegro,MNE,..,..,..,..,..,..,..,3503250.98092918,-6165942.93719867,-5104780.78403917,-7837227.20485478,-15102198.3486566,-308220.077529547,14168637.7021727,16163985.9811717,10429716.0178628,16990886.7697383
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,0,0,0,0,0,56386.3219187762,-826829.068508927,-5702462.48749784,2244585.96880791,2647785.57195145
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Croatia,HRV,-89305.3045478095,13087175.6114134,33269581.0469286,15004806.104416,176586181.834954,112880374.042467,408880789.817195,441791120.241431,-110046696.398808,25346068.6290556,181792542.260191,4047720.21128937,-149034469.468357,-58997824.9594475,-45595765.8607246,10689769.849433,12854396.205644
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Bulgaria,BGR,4886905.0608893,-8603380.75687749,-22927656.0843202,-23193285.9510595,21503762.1402256,449034874.575061,147563558.552537,88560349.9745159,-105508896.291225,7584790.35850151,-720000,-46160000,4490000,-19100000,-76640000,-28580000,-34550000
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Romania,ROU,58000000,8000000,21000000,69000000,111000000,232210719.422015,302593655.106679,742056406.512232,21132360.6081801,6755842.41724002,3437242.67270628,-38290891.3040163,408323207.598552,1054061124.14664,534835681.817057,361658058.660049,-459356569.610531
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Slovenia,SVN,25400000,-2200000,10800000,16000000,-13100000,97800000,196722317.114945,274516700.643432,-271318135.181914,23300121.6087957,169921421.578354,228072484.066673,148169759.637769,164937448.868894,122812305.008427,58310936.0437971,52443733.9174008
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Albania,ALB,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1247181714.30558,1345415233.65619,1089898207.57431,1048706682.05458,917994575.801857,1254150555.51294,1149927985.77736,989578334.828615,1044389554.85795
