Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Mutual fund assets to GDP (%),GFDD.DI.07,Albania,ALB,..,..,..,..,..,..,..,..,..,0.00637873,0.00902841,..,1.2050705,3.7410986,4.5678754,4.6704907,4.4559545
Mutual fund assets to GDP (%),GFDD.DI.07,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.51560628,0.60928574
Mutual fund assets to GDP (%),GFDD.DI.07,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,0.13134259,0.22829789,0.39696091,0.46647373
Mutual fund assets to GDP (%),GFDD.DI.07,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mutual fund assets to GDP (%),GFDD.DI.07,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,7.744844,7.843494,4.883984,3.5685195,3.5901505,3.1551284,..,2.8952057,2.9595695,2.9185997,2.7333715
Mutual fund assets to GDP (%),GFDD.DI.07,Croatia,HRV,0.73709271,1.2964102,1.7228099,1.6705706,2.230705,3.808163,6.2248233,10.388035,3.3755011,4.1627221,4.693211,4.0286866,4.3621928,4.4979404,4.6446513,4.8683415,6.0903203
Mutual fund assets to GDP (%),GFDD.DI.07,Slovenia,SVN,..,..,..,..,..,..,6.2966922,8.7884168,3.7208041,5.1818559,5.5293415,4.4238368,5.0879707,5.1774829,5.1070801,5.6811099,5.650888
Mutual fund assets to GDP (%),GFDD.DI.07,Bulgaria,BGR,0.03834683,0.03445028,0.03801142,0.0490421,0.13616076,0.20244915,0.58959692,1.4363471,0.41514382,0.49208527,0.59942252,0.50709039,0.59963078,0.90622384,0.87167417,0.8687507,1.0184568
Mutual fund assets to GDP (%),GFDD.DI.07,Romania,ROU,0.02147463,0.02475565,0.05861143,0.05016736,0.09603499,0.11071296,0.20242086,0.22338663,0.15211352,0.65133594,1.0300082,1.3025923,1.5313315,2.0964213,2.4665012,2.8346495,2.6960251
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: Global Financial Development,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/23/2022,,,,,,,,,,,,,,,,,,,,
