"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",0.544,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",1.159,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",2.183,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",2.988,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1.441,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",2.679,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",4.281,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",5.484,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",7.396,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",10.341,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2017",15.598,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2018",21.362,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2019",26.891,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2020",35.886,
"ALB","PRIVPENSIONASSET","TOT","MLN_USD","A","2021",43.167,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",84.216,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",179.001,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",331.112,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",553.144,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",674.009,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",1025.103,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",1748.633,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",1660.268,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",2326.296,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",2713.525,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",3041.777,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",3848.227,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",4806.956,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",5088.964,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",5247.651,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",5833.581,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2017",7813.208,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2018",7881.424,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2019",9037.503,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2020",10920.801,
"BGR","PRIVPENSIONASSET","TOT","MLN_USD","A","2021",11360.414,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",326.695,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",863.241,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",1555.796,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",1871.776,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",2935.799,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",4375.483,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",4565.795,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",6018.075,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",6840.219,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",7394.599,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",9353.051,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",10982.237,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",11156.831,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",11290.507,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",12428.181,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2017",15531.722,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2018",16110.117,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2019",18090.89,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2020",20827.747,
"HRV","PRIVPENSIONASSET","TOT","MLN_USD","A","2021",21566.475,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",75.025,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",115.631,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",205.119,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",269.758,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",339.566,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",457.349,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",608.074,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",664.201,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",723.775,
"MKD","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",841.459,
