"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",263407.725,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",292622.88,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",358915.039,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",442936.375,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",583888.268,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",678162.183,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",1014340.569,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",1095339.382,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",867428.773,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",1017081.539,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",1437783.991,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",1426024.236,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",1482945.643,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",1681786.338,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",1517612.539,
"AUS","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",1532849.39,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",20836.057,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",20914.865,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",19745.146,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",22257.271,
"AUT","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",25993.714,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2000",815310.683,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",741658.262,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",721407.733,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",974754.346,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",1176362.213,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",1372018.985,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",1535715.274,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",1951002.26,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",1391903.489,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",1711493.834,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",2068887.311,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2011",2157881.809,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2012",2324631.772,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2013",2405772.471,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2014",2446199.466,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2015",2225731.936,
"CAN","PRIVPENSIONASSET","TOT","MLN_USD","A","2016",2378020.407,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2001",1472.098,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2002",2229.732,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2003",3127.122,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2004",4462.449,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2005",5019.386,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2006",6991.167,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2007",9248.644,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2008",9909.287,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2009",11752.538,
"CZE","PRIVPENSIONASSET","TOT","MLN_USD","A","2010",12395.19,
